observation_date,SPDYNTFRTINUSA
1960-01-01,3.6540
1961-01-01,3.6200
1962-01-01,3.4610
1963-01-01,3.3190
1964-01-01,3.1900
1965-01-01,2.9130
1966-01-01,2.7210
1967-01-01,2.5580
1968-01-01,2.4640
1969-01-01,2.4560
1970-01-01,2.4800
1971-01-01,2.2660
1972-01-01,2.0100
1973-01-01,1.8790
1974-01-01,1.8350
1975-01-01,1.7740
1976-01-01,1.7380
1977-01-01,1.7900
1978-01-01,1.7600
1979-01-01,1.8080
1980-01-01,1.8395
1981-01-01,1.8120
1982-01-01,1.8275
1983-01-01,1.7990
1984-01-01,1.8065
1985-01-01,1.8440
1986-01-01,1.8375
1987-01-01,1.8720
1988-01-01,1.9340
1989-01-01,2.0140
1990-01-01,2.0810
1991-01-01,2.0625
1992-01-01,2.0460
1993-01-01,2.0195
1994-01-01,2.0015
1995-01-01,1.9780
1996-01-01,1.9760
1997-01-01,1.9710
1998-01-01,1.9990
1999-01-01,2.0075
2000-01-01,2.0560
2001-01-01,2.0305
2002-01-01,2.0205
2003-01-01,2.0475
2004-01-01,2.0515
2005-01-01,2.0570
2006-01-01,2.1080
2007-01-01,2.1200
2008-01-01,2.0720
2009-01-01,2.0020
2010-01-01,1.9310
2011-01-01,1.8945
2012-01-01,1.8805
2013-01-01,1.8575
2014-01-01,1.8625
2015-01-01,1.8435
2016-01-01,1.8205
2017-01-01,1.7655
2018-01-01,1.7295
2019-01-01,1.7060
2020-01-01,1.6415
2021-01-01,1.6640
2022-01-01,1.6565
2023-01-01,1.6165
