year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2005,01,Alabama,4442558,120773,2.72
2005,02,Alaska,641724,34368,5.36
2005,04,Arizona,5829839,843296,14.47
2005,05,Arkansas,2701431,101169,3.75
2005,06,California,35278768,9611356,27.24
2005,08,Colorado,4562244,460294,10.09
2005,09,Connecticut,3394751,423254,12.47
2005,10,Delaware,818587,62867,7.68
2005,11,District of Columbia,515118,67717,13.15
2005,12,Florida,17382511,3212955,18.48
2005,13,Georgia,8821142,795419,9.02
2005,15,Hawaii,1238158,212404,17.15
2005,16,Idaho,1395634,76377,5.47
2005,17,Illinois,12440351,1695289,13.63
2005,18,Indiana,6093372,242281,3.98
2005,19,Iowa,2862541,103143,3.6
2005,20,Kansas,2662616,153535,5.77
2005,21,Kentucky,4058633,98798,2.43
2005,22,Louisiana,4389747,121590,2.77
2005,23,Maine,1283673,38727,3.02
2005,24,Maryland,5461318,641373,11.74
2005,25,Massachusetts,6182860,891184,14.41
2005,26,Michigan,9865583,605656,6.14
2005,27,Minnesota,4989848,316716,6.35
2005,28,Mississippi,2824156,43336,1.53
2005,29,Missouri,5631910,193735,3.44
2005,30,Montana,910651,16734,1.84
2005,31,Nebraska,1706976,96127,5.63
2005,32,Nevada,2381281,413298,17.36
2005,33,New Hampshire,1272486,72480,5.7
2005,34,New Jersey,8521427,1662857,19.51
2005,35,New Mexico,1887200,168640,8.94
2005,36,New York,18655275,3997268,21.43
2005,37,North Carolina,8411041,560753,6.67
2005,38,North Dakota,609645,11968,1.96
2005,39,Ohio,11155606,387216,3.47
2005,40,Oklahoma,3433496,155880,4.54
2005,41,Oregon,3560109,344575,9.68
2005,42,Pennsylvania,11979147,603674,5.04
2005,44,Rhode Island,1032662,130517,12.64
2005,45,South Carolina,4113961,170750,4.15
2005,46,South Dakota,746033,17269,2.31
2005,47,Tennessee,5810590,223118,3.84
2005,48,Texas,22270165,3542513,15.91
2005,49,Utah,2427350,192916,7.95
2005,50,Vermont,602290,21843,3.63
2005,51,Virginia,7332608,723667,9.87
2005,53,Washington,6146338,750258,12.21
2005,54,West Virginia,1771750,19302,1.09
2005,55,Wisconsin,5375751,227372,4.23
2005,56,Wyoming,495226,11235,2.27
2005,72,Puerto Rico,3865280,115683,2.99
2006,01,Alabama,4599030,130049,2.83
2006,02,Alaska,670053,47066,7.02
2006,04,Arizona,6166318,929083,15.07
2006,05,Arkansas,2810872,107346,3.82
2006,06,California,36457549,9902067,27.16
2006,08,Colorado,4753377,489496,10.3
2006,09,Connecticut,3504809,452358,12.91
2006,10,Delaware,853476,68722,8.05
2006,11,District of Columbia,581530,73820,12.69
2006,12,Florida,18089889,3425634,18.94
2006,13,Georgia,9363941,859590,9.18
