year,state_fips,state_name,poverty_pct
2005,01,Alabama,17.03
2005,02,Alaska,11.18
2005,04,Arizona,14.2
2005,05,Arkansas,17.17
2005,06,California,13.31
2005,08,Colorado,11.08
2005,09,Connecticut,8.32
2005,10,Delaware,10.41
2005,11,District of Columbia,19.02
2005,12,Florida,12.79
2005,13,Georgia,14.41
2005,15,Hawaii,9.84
2005,16,Idaho,13.85
2005,17,Illinois,11.97
2005,18,Indiana,12.22
2005,19,Iowa,10.87
2005,20,Kansas,11.68
2005,21,Kentucky,16.82
2005,22,Louisiana,19.76
2005,23,Maine,12.59
2005,24,Maryland,8.24
2005,25,Massachusetts,10.33
2005,26,Michigan,13.22
2005,27,Minnesota,9.18
2005,28,Mississippi,21.34
2005,29,Missouri,13.34
2005,30,Montana,14.37
2005,31,Nebraska,10.94
2005,32,Nevada,11.09
2005,33,New Hampshire,7.5
2005,34,New Jersey,8.69
2005,35,New Mexico,18.51
2005,36,New York,13.8
2005,37,North Carolina,15.07
2005,38,North Dakota,11.23
2005,39,Ohio,13.05
2005,40,Oklahoma,16.5
2005,41,Oregon,14.1
2005,42,Pennsylvania,11.9
2005,44,Rhode Island,12.26
2005,45,South Carolina,15.57
2005,46,South Dakota,13.64
2005,47,Tennessee,15.55
2005,48,Texas,17.6
2005,49,Utah,10.16
2005,50,Vermont,11.46
2005,51,Virginia,9.97
2005,53,Washington,11.92
2005,54,West Virginia,17.99
2005,55,Wisconsin,10.19
2005,56,Wyoming,9.5
2005,72,Puerto Rico,44.87
2006,01,Alabama,16.56
2006,02,Alaska,10.88
2006,04,Arizona,14.17
2006,05,Arkansas,17.26
2006,06,California,13.15
2006,08,Colorado,11.95
2006,09,Connecticut,8.25
2006,10,Delaware,11.1
2006,11,District of Columbia,19.61
2006,12,Florida,12.59
2006,13,Georgia,14.68
2006,15,Hawaii,9.28
2006,16,Idaho,12.59
2006,17,Illinois,12.3
2006,18,Indiana,12.7
2006,19,Iowa,10.98
2006,20,Kansas,12.35
2006,21,Kentucky,16.97
2006,22,Louisiana,19.04
2006,23,Maine,12.91
2006,24,Maryland,7.82
2006,25,Massachusetts,9.95
2006,26,Michigan,13.52
2006,27,Minnesota,9.76
2006,28,Mississippi,21.05
2006,29,Missouri,13.56
2006,30,Montana,13.64
2006,31,Nebraska,11.49
2006,32,Nevada,10.31
2006,33,New Hampshire,8.02
2006,34,New Jersey,8.69
2006,35,New Mexico,18.5
2006,36,New York,14.18
2006,37,North Carolina,14.68
2006,38,North Dakota,11.45
2006,39,Ohio,13.32
2006,40,Oklahoma,16.97
2006,41,Oregon,13.25
2006,42,Pennsylvania,12.05
2006,44,Rhode Island,11.12
2006,45,South Carolina,15.69
2006,46,South Dakota,13.57
2006,47,Tennessee,16.2
2006,48,Texas,16.9
2006,49,Utah,10.58
2006,50,Vermont,10.32
2006,51,Virginia,9.57
2006,53,Washington,11.77
2006,54,West Virginia,17.34
2006,55,Wisconsin,10.96
2006,56,Wyoming,9.36
2006,72,Puerto Rico,45.36
2007,01,Alabama,16.86
2007,02,Alaska,8.94
2007,04,Arizona,14.16
2007,05,Arkansas,17.87
2007,06,California,12.39
2007,08,Colorado,11.97
2007,09,Connecticut,7.94
2007,10,Delaware,10.49
2007,11,District of Columbia,16.43
2007,12,Florida,12.1
2007,13,Georgia,14.26
2007,15,Hawaii,7.97
2007,16,Idaho,12.14
2007,17,Illinois,11.93
2007,18,Indiana,12.33
2007,19,Iowa,11.03
2007,20,Kansas,11.16
2007,21,Kentucky,17.33
2007,22,Louisiana,18.61
2007,23,Maine,12.04
2007,24,Maryland,8.28
2007,25,Massachusetts,9.95
2007,26,Michigan,14.0
