year,quarter,value
1979,01,339
1979,02,334
1979,03,325
1979,04,328
1980,01,324
1980,02,314
1980,03,315
1980,04,317
1981,01,317
1981,02,311
1981,03,304
1981,04,314
1982,01,315
1982,02,314
1982,03,306
1982,04,315
1983,01,318
1983,02,314
1983,03,310
1983,04,314
1984,01,316
1984,02,312
1984,03,308
1984,04,318
1985,01,317
1985,02,323
1985,03,315
1985,04,322
1986,01,324
1986,02,328
1986,03,322
1986,04,333
1987,01,331
1987,02,328
1987,03,324
1987,04,330
1988,01,332
1988,02,325
1988,03,320
1988,04,326
1989,01,326
1989,02,322
1989,03,317
1989,04,324
1990,01,323
1990,02,318
1990,03,309
1990,04,313
1991,01,320
1991,02,311
1991,03,308
1991,04,314
1992,01,319
1992,02,312
1992,03,310
1992,04,314
1993,01,319
1993,02,316
1993,03,315
1993,04,320
1994,01,320
1994,02,315
1994,03,310
1994,04,316
1995,01,317
1995,02,312
1995,03,313
1995,04,315
1996,01,315
1996,02,311
1996,03,310
1996,04,315
1997,01,316
1997,02,311
1997,03,310
1997,04,316
1998,01,322
1998,02,316
1998,03,318
1998,04,330
1999,01,327
1999,02,327
1999,03,327
1999,04,337
2000,01,337
2000,02,332
2000,03,331
2000,04,336
2001,01,335
2001,02,333
2001,03,335
2001,04,342
2002,01,344
2002,02,337
2002,03,334
2002,04,338
2003,01,339
2003,02,335
2003,03,335
2003,04,338
2004,01,340
2004,02,338
2004,03,333
2004,04,339
2005,01,340
2005,02,331
2005,03,329
2005,04,333
2006,01,336
2006,02,326
2006,03,332
2006,04,338
2007,01,340
2007,02,332
2007,03,334
2007,04,334
2008,01,339
2008,02,332
2008,03,329
2008,04,342
2009,01,348
2009,02,342
2009,03,342
2009,04,346
2010,01,347
2010,02,340
2010,03,339
2010,04,344
2011,01,341
2011,02,334
2011,03,332
2011,04,338
2012,01,337
2012,02,335
2012,03,329
2012,04,336
2013,01,334
2013,02,333
2013,03,330
2013,04,337
2014,01,339
2014,02,328
2014,03,332
2014,04,338
2015,01,344
2015,02,337
2015,03,337
2015,04,348
2016,01,350
2016,02,343
2016,03,343
2016,04,351
2017,01,355
2017,02,351
2017,03,350
2017,04,347
2018,01,354
2018,02,348
2018,03,352
2018,04,357
2019,01,358
2019,02,355
2019,03,358
2019,04,364
2020,01,370
2020,02,390
2020,03,383
2020,04,378
2021,01,376
2021,02,368
2021,03,366
2021,04,364
2022,01,365
2022,02,356
2022,03,361
2022,04,365
2023,01,366
2023,02,362
2023,03,364
2023,04,373
2024,01,367
2024,02,364
2024,03,370
2024,04,378
2025,01,374
2025,02,372
2025,03,375
2025,04,-
