Year,State,Sex,Life_Expectancy,SE,Quartile
2019,Hawaii,Total,80.9,0.119,79.5 - 80.9
2019,California,Total,80.9,0.022,79.5 - 80.9
2019,New York,Total,80.7,0.03,79.5 - 80.9
2019,Minnesota,Total,80.4,0.056,79.5 - 80.9
2019,Massachusetts,Total,80.4,0.05,79.5 - 80.9
2019,Connecticut,Total,80.3,0.073,79.5 - 80.9
2019,New Jersey,Total,80.1,0.046,79.5 - 80.9
2019,Washington,Total,80,0.048,79.5 - 80.9
2019,Colorado,Total,80,0.058,79.5 - 80.9
2019,Vermont,Total,79.8,0.172,79.5 - 80.9
2019,Utah,Total,79.7,0.078,79.5 - 80.9
2019,Oregon,Total,79.6,0.066,79.5 - 80.9
2019,Idaho,Total,79.5,0.101,79.5 - 80.9
2019,Rhode Island,Total,79.5,0.135,79.5 - 80.9
2019,New Hampshire,Total,79.4,0.116,78.4 - 79.4
2019,Wisconsin,Total,79.3,0.057,78.4 - 79.4
2019,Nebraska,Total,79.2,0.098,78.4 - 79.4
2019,Virginia,Total,79.1,0.047,78.4 - 79.4
2019,Florida,Total,79,0.032,78.4 - 79.4
2019,Iowa,Total,79,0.077,78.4 - 79.4
2019,Illinois,Total,79,0.039,78.4 - 79.4
2019,United States,Total,78.8,,*
2019,Arizona,Total,78.8,0.054,78.4 - 79.4
2019,North Dakota,Total,78.8,0.166,78.4 - 79.4
2019,Texas,Total,78.6,0.026,78.4 - 79.4
2019,Maryland,Total,78.5,0.059,78.4 - 79.4
2019,Montana,Total,78.4,0.139,78.4 - 79.4
2019,South Dakota,Total,78.4,0.157,78.4 - 79.4
2019,Pennsylvania,Total,78.3,0.04,77.0 - 78.3
2019,Maine,Total,78.3,0.123,77.0 - 78.3
2019,Kansas,Total,78.2,0.082,77.0 - 78.3
2019,Delaware,Total,78.1,0.153,77.0 - 78.3
2019,District of Columbia,Total,78,0.186,77.0 - 78.3
2019,Nevada,Total,78,0.08,77.0 - 78.3
2019,Michigan,Total,78,0.045,77.0 - 78.3
2019,Alaska,Total,77.7,0.173,77.0 - 78.3
2019,Wyoming,Total,77.7,0.199,77.0 - 78.3
