District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
AK-1,"Young, Don",R,R+15,R+16,R+9,43%,53%,-10%,38%,53%,-15%,41%,55%,-14%,38%,60%,-22%,1.17,67.3%,3.2%,5.5%,4.3%,"$76,114",29.0%,23.7%,43.8%,Pure rural
AL-1,"Carl, Jerry",R,R+32,R+29,R+15,35%,64%,-28%,34%,64%,-29%,37%,62%,-24%,39%,61%,-22%,0.71,68.3%,26.5%,2.1%,1.0%,"$46,449",24.0%,18.8%,50.1%,Rural-suburban mix
AL-2,"Moore, Barry",R,R+33,R+31,R+16,35%,64%,-29%,33%,65%,-32%,36%,63%,-27%,35%,65%,-30%,0.82,65.6%,30.3%,1.9%,0.6%,"$44,765",22.1%,16.4%,49.9%,Pure rural
AL-3,"Rogers, Mike",R,R+35,R+32,R+16,34%,65%,-32%,32%,65%,-33%,37%,62%,-26%,37%,63%,-26%,0.88,71.0%,25.3%,1.7%,0.8%,"$44,725",21.5%,16.2%,54.5%,Pure rural
AL-4,"Aderholt, Rob",R,R+66,R+60,R+30,18%,81%,-63%,17%,80%,-63%,24%,75%,-51%,26%,73%,-48%,0.89,88.6%,7.1%,1.9%,0.4%,"$41,822",16.9%,15.3%,71.4%,Pure rural
AL-5,"Brooks, Mo",R,R+32,R+33,R+18,36%,63%,-27%,31%,65%,-33%,35%,64%,-29%,36%,63%,-26%,0.87,76.8%,17.3%,2.3%,1.2%,"$52,874",30.8%,24.4%,52.0%,Rural-suburban mix
AL-6,"Palmer, Gary",R,R+42,R+47,R+26,32%,67%,-35%,26%,71%,-45%,25%,74%,-50%,25%,74%,-49%,0.77,81.4%,14.6%,1.7%,1.0%,"$63,009",36.0%,30.1%,49.6%,Rural-suburban mix
AL-7,"Sewell, Terri",D,D+39,D+41,D+20,71%,29%,42%,70%,29%,41%,72%,27%,45%,72%,28%,43%,0.73,35.2%,62.4%,1.1%,0.3%,"$35,059",19.6%,9.8%,24.5%,Rural-suburban mix
AR-1,"Crawford, Rick",R,R+43,R+32,R+17,28%,69%,-41%,30%,65%,-35%,36%,61%,-25%,39%,58%,-19%,1.11,79.4%,16.9%,1.8%,0.3%,"$39,864",16.0%,14.0%,65.6%,Pure rural
AR-2,"Hill, French",R,R+14,R+11,R+7,44%,53%,-9%,42%,52%,-11%,43%,55%,-12%,44%,54%,-10%,1.00,73.2%,21.5%,2.4%,1.0%,"$49,526",29.2%,23.1%,49.7%,Rural-suburban mix
